brain_region,gene_id,sample_count,sum_expression,effect_size_8,p-value_8,power_8,t_stat_8,effect_size_16,p-value_16,power_16,t_stat_16,effect_size_32,p-value_32,power_32,t_stat_32,effect_size_64,p-value_64,power_64,t_stat_64,effect_size_128,p-value_128,power_128,t_stat_128,effect_size_256,p-value_256,power_256,t_stat_256
4254,6496,264,619.0007544443456,0.4964295624529104,0.01953125,0.3533638193380537,33.0,0.20568433513787843,0.5895538330078125,0.19519293855019193,64.0,0.191945695653625,0.85246486752294,0.28004388999280316,208.0,0.10266962093151905,0.9974094793229592,0.20261938624636633,622.0,0.12167215582481326,0.9969026460315505,0.39141799181763304,2977.0,0.024310208762134564,0.9999999812532046,0.10439109186082529,9923.0
4722,3338,473,744.0601518071928,-22.664250683041484,1.0,0.0,0.0,-20.117320491852883,1.0,0.0,0.0,-1.3342523456399125,0.9999991334043443,2.220446049250313e-14,35.0,-1.9670792337591012,0.9999999999599127,0.0,68.0,-1.6847747737503298,1.0,0.0,395.0,-1.735684885977185,1.0,0.0,1549.0
4722,4855,308,919.4850880176728,-3.8453978997053846,1.0,0.0,0.0,-2.3947971368959817,1.0,0.0,0.0,-1.163598727637752,0.999998843530193,2.3160029449798003e-11,37.0,-1.3025725883169048,0.9999999990055348,0.0,143.0,-1.2580622991402037,1.0,0.0,572.0,-1.2251472227311389,1.0,0.0,2476.0
4251,7127,275,2331.974890693801,0.7225773217241017,0.07421875,0.5781137137790847,29.0,0.1925496624091792,0.23187255859375,0.18165554246763616,83.0,0.1177855886377888,0.20523177459836006,0.1603483832544762,309.0,0.11817182110639536,0.12640173054949772,0.23897027274256677,1211.0,0.0751715941088756,0.13751081611370508,0.21217112346182054,4587.0,0.05799426209923584,0.16420144421685412,0.23594536512594033,17607.0
4254,1632,264,1137.1141897476246,-0.31676918088882483,0.90234375,0.006916534150200104,9.0,-0.014702941998230704,0.6471405029296875,0.04446433552056972,61.0,0.06892815795859668,0.4232299099676311,0.10322560332915187,275.0,-0.005499312745093903,0.6583436736637763,0.04566931852521117,979.0,-0.01431180320837004,0.7766752886188903,0.03546594278775106,3808.0,-0.007400543628902927,0.8357987600005963,0.03895457325050411,15289.0
4254,1009571,288,1336.2211049216423,-0.6125846684140951,0.9609375,0.0006205988079577285,6.0,-0.2050959871050072,0.85107421875,0.007557323543106009,48.0,-0.30747642809162296,0.9702270163688809,0.0004081199846018846,164.0,-0.20678449089198112,0.9634536365713727,0.0005161249785197164,772.0,-0.27254218192841073,0.9980704309298989,1.225791059322745e-06,2913.0,-0.23760794159821533,0.999796063740764,2.6270657205174075e-08,12256.0
4258,3332,273,606.4122832016815,-3.369349935588689,1.0,0.0,0.0,-0.29187923343399425,0.8843994140625,0.0028723727373145547,45.0,-0.4130825826641245,0.9845390680711716,4.208705229513665e-05,150.0,-0.3839423469444089,0.9986658780554433,1.4061326881753544e-06,595.0,-0.24796085685910427,0.9999649443311244,4.594720454442758e-06,2459.0,-0.2728254548680296,0.9999999984116846,4.4154668810136855e-10,9427.0
9520,2881,522,3117.541823311579,-0.7638338114224801,0.97265625,0.00014529156811304844,5.0,-0.5866593100177517,0.985504150390625,4.961633073652383e-05,27.0,-0.4713814259756256,0.9912698259577155,1.044387587079143e-05,139.0,-0.4262840746608406,0.9990202884971371,2.5853773621964393e-07,577.0,-0.5091943126410994,0.9999998584978245,4.183924429135288e-09,1969.0,-0.4787946557080872,0.999999999996302,9.2148511043888e-15,8325.0
4725,3335,341,804.620232036031,-1.982775890001474,0.99609375,0.0,1.0,-2.5704196208820442,0.9999847412109375,0.0,1.0,-0.6254158108690189,0.9997640924993902,1.613418183499249e-07,86.0,-0.839781979467496,0.9999999606461445,9.195644246062784e-12,237.0,-0.9076743313735992,0.999999999999998,0.0,824.0,-0.8389700267754384,1.0,0.0,3352.0
4740,2538,833,3986.570855448466,-0.38689293573140854,0.80859375,0.004107322682501358,12.0,0.22758500679832191,0.2640838623046875,0.21908193733741244,81.0,0.1329946453153453,0.40883714938536286,0.18170875999976788,277.0,0.07874026122495127,0.5106704409260953,0.15346651306060244,1036.0,0.047777366490236804,0.5689120253357649,0.13410601599288197,4055.0,0.06215935236420806,0.47881605874581973,0.25689697035952885,16511.0
4740,36362,578,1044.142215063565,-15.409815207319934,1.0,0.0,0.0,-17.93525913452514,1.0,0.0,0.0,-11.40530781722845,1.0,0.0,0.0,-4.833916721838088,0.9999999999982373,0.0,0.0,-4.494790742203801,1.0,0.0,0.0,-4.528706480002036,1.0,0.0,0.0
4254,1009608,384,1158.507605914684,-0.03766683141439522,0.92578125,0.040782623140683816,8.0,0.13483478945901986,0.8738861083984375,0.12933991591777672,46.0,-0.00039438253828774677,0.8950228444300592,0.04977527863636366,197.0,-0.0984196791273711,0.9320658728374109,0.007678907047348527,817.0,0.009757025796995217,0.9049668168020334,0.06238551943808679,3577.0,0.012612680205868398,0.9406240309641342,0.07442780603001298,14598.0
4722,4103,341,1303.2320591151624,-0.9312217786951482,0.98046875,2.439719626223802e-05,4.0,-1.515456623505656,0.9999237060546875,0.0,4.0,-0.8236473070899876,0.9999111099168658,0.0,75.0,-0.9820959313684681,0.999999987791519,1.9984014443252818e-15,206.0,-0.9210040825597339,0.9999999999999892,0.0,915.0,-0.862283654989182,1.0,0.0,3980.0
9520,1800,360,754.7862648131719,-2.2291358611950964,1.0,0.0,0.0,-3.110195461680673,1.0,0.0,0.0,-2.9322701115041307,0.9999999995343387,0.0,2.0,-2.508476039576597,0.9999999999973047,0.0,9.0,-1.647327820321675,1.0,0.0,249.0,-1.3378887290437198,1.0,0.0,1611.0
4281,2541,1680,10995.739704031646,0.6892785478372021,0.07421875,0.5449173800718169,29.0,0.3642922632250992,0.096405029296875,0.3999002800035629,94.0,0.36191507177387916,0.024884693091735244,0.6396221853723256,369.0,0.3917076079598696,0.002287686474787841,0.9271485011081464,1464.0,0.5099289540033677,2.919116712594442e-07,0.999999996017269,6229.0,0.39620627021409965,2.168973621145593e-09,0.9999999998845945,23410.0
4722,3336,275,681.2010422766957,-14.945152424382696,1.0,0.0,0.0,-4.3748782918050955,1.0,0.0,0.0,-2.3673097531382874,0.999999996740371,0.0,7.0,-2.418570905664177,0.9999999999943109,0.0,25.0,-2.182821652637692,1.0,0.0,133.0,-2.0567664197744495,1.0,0.0,688.0
4282,2880,450,2088.443793529816,-0.6002645597554461,0.92578125,0.0006939062616464486,8.0,-0.24578225668218381,0.8387451171875,0.0048629162792901415,49.0,-0.34579491249028665,0.966076104901731,0.00018580703660919795,167.0,-0.34136171781685326,0.994885668836705,6.902100607386608e-06,656.0,-0.4189868008048809,0.9999771075620753,0.0,2414.0,-0.4588102387727035,0.999999999776609,1.0602629885170245e-13,9052.0
4360,36362,272,571.7234558897019,-0.8272316970072087,0.97265625,7.556956754539712e-05,5.0,-1.2492948031644373,0.999786376953125,0.0,7.0,-0.9556533491383665,0.9999919838737696,0.0,52.0,-1.547989391255816,0.9999999999766127,0.0,65.0,-1.976053467641788,1.0,0.0,93.0,-2.4881491833408167,1.0,0.0,108.0
4251,2556,450,2503.297723562645,0.15779051182729903,0.421875,0.10746491048482643,20.0,-0.01710956091780982,0.5500335693359375,0.04360710516659516,66.0,0.07720332503995833,0.3457891314756125,0.11168979606847718,286.0,-0.057894849518950305,0.7439082040858427,0.017729605196528886,942.0,-0.03998897275155537,0.7465024125523056,0.018091007754975186,3849.0,-0.02412938946901766,0.6743611851347123,0.02118327629514616,15912.0
4282,6112,350,3182.0184160612907,0.19722657642258185,0.15625,0.127312091538347,26.0,0.05113560369096779,0.201873779296875,0.07361864871079504,85.0,0.07322371222453078,0.10158931463956833,0.10755928255327485,333.0,0.04211993845414736,0.08313124513293729,0.09484466481426501,1247.0,0.030051087721166228,0.05343896535333108,0.09566207828767703,4806.0,0.007996310439193691,0.018517548870446397,0.06460158023356621,18921.0
4254,3332,312,803.7777446265079,-1.348501655745524,0.99609375,1.233139708123332e-07,1.0,-0.18555818556231962,0.996185302734375,0.009265946100267652,19.0,-0.23046091693430315,0.9997832761146128,0.001746141517822264,85.0,-0.2723938391459269,0.9999995417429316,7.207163306566233e-05,306.0,-0.01711232242491394,0.999553586124719,0.033073268869648786,2731.0,-0.06684387613503141,0.9999999949265266,0.0033487188307250726,9655.0
9520,4103,558,2953.602706484557,-0.030301922248967644,0.3203125,0.04246797014278447,22.0,-0.6174197837769876,0.97467041015625,3.028868435051013e-05,31.0,-0.2424289256208881,0.8609351590275764,0.0014086950804937937,206.0,-0.14888835861585822,0.8095021386286834,0.0023765791728647123,909.0,-0.18676586848166057,0.9650185534837656,8.95895677330838e-05,3366.0,-0.1535305542316077,0.9821229147375565,2.1121728529971406e-05,13958.0
4741,2881,435,3539.7287279901084,0.4993980756901773,0.15625,0.35617179404303567,26.0,0.769465260108015,0.0054931640625,0.9014370988183005,116.0,1.0434849863991462,1.0021030902862549e-06,0.9999999982135431,493.0,0.8677287809390148,1.85828331449982e-08,0.9999999999980648,1863.0,0.8064905321297836,3.006024671403179e-14,1.0,7285.0,0.9872311076640913,7.021442865522848e-32,1.0,30313.0
4367,2538,441,2032.594968775049,-0.022529280185944005,0.578125,0.044306951447529164,17.0,-0.1203085388586461,0.8258056640625,0.01764285093536666,50.0,-0.15262199351262087,0.9281109247822315,0.0063922459045121505,186.0,-0.049444782694729676,0.8166874605640557,0.02086544420261871,905.0,0.036292727294532014,0.6186835913332158,0.10814908825162295,4001.0,-0.0052743704654434195,0.8525256700418153,0.04190275714017078,15206.0
4722,2881,319,2546.6421230316028,0.5417707773365947,0.125,0.39701608007983036,27.0,0.8354606769061163,0.001678466796875,0.9383147912608271,122.0,1.0571770566074594,1.7741695046424866e-07,0.9999999988863411,504.0,0.8235091878456364,3.391688908413163e-08,0.9999999999777215,1847.0,0.8116881475884699,2.2877656369757362e-14,1.0,7300.0,0.9257693100126503,1.337914487674777e-30,1.0,30013.0
4740,2882,357,1297.5883332861297,-0.7088001245934299,0.90234375,0.00025076401572965423,9.0,-0.6012383283032586,0.9477081298828125,3.933290221735941e-05,37.0,-0.4912627122419074,0.9925983715802431,6.346295713721695e-06,136.0,-0.7124746524899683,0.9999982674402794,5.99750116236919e-09,346.0,-0.6073256780132505,0.999999998184582,3.1853408799520366e-12,1647.0,-0.7043572219718903,1.0,0.0,5470.0
4255,2539,494,2837.590072678146,0.14083247978023683,0.37109375,0.09964918725330474,21.0,-0.12691045470605217,0.752288818359375,0.016572224901639898,55.0,-0.11231381522349958,0.7729776042979211,0.011708653125568236,224.0,-0.09611341353746149,0.8484658260879305,0.008073515964366007,886.0,-0.13669217207372683,0.9633330867261142,0.0007283838990534974,3375.0,-0.0829779838787819,0.9260558147185638,0.0014939055836151738,14732.0
4291,1800,260,1535.2593506826915,2.8794006059896193,0.00390625,0.9999999999999998,36.0,2.0188122377962805,3.0517578125e-05,0.9999999999999997,135.0,1.854663483290045,2.3283064365386963e-09,1.0,523.0,1.5449001595863057,1.957317319996751e-11,1.0,2028.0,0.9664330381218337,5.325089861662877e-16,1.0,7500.0,1.155870804916799,2.0066357611837807e-34,1.0,30891.0
4282,2539,650,3767.473449170842,0.9056842800583408,0.02734375,0.7451203864771103,32.0,-0.0368991797364151,0.5500335693359375,0.037052625837058484,66.0,-0.007502084876122457,0.45229780417867005,0.04586170306197157,271.0,-0.024628824419605573,0.5716447515935913,0.0329001690559646,1013.0,-0.08289353917384101,0.7994020984018212,0.004972803349230781,3775.0,-0.07302785875785514,0.8343336818447409,0.0024754761211844833,15296.0
4251,3332,325,804.1158918057683,-5.32057316560712,1.0,0.0,0.0,-0.44946617878241485,0.9979095458984375,0.00038124582835152854,16.0,-0.3576035453680837,0.9999590404331684,0.0001445527143860703,67.0,-0.340600582721803,0.999998539173973,7.094230902171539e-06,341.0,-0.22025092711510308,0.9999999162552367,1.8654274620444333e-05,1928.0,-0.14058359206254978,0.9999999997951489,5.0484942516915154e-05,9036.0
4258,2555,378,3078.8470755947646,-0.4482843956704391,0.90234375,0.002537147572159837,9.0,-0.14085844886000354,0.7017059326171875,0.014491779592814336,58.0,-0.2616722892713775,0.9331805219408125,0.0009888668844222348,184.0,-0.31497576930565,0.9876800369302743,1.751395134486078e-05,704.0,-0.2827339430206695,0.9982114712973785,6.935643599437213e-07,2903.0,-0.18676503118947907,0.996372783960158,1.8704579358708173e-06,13264.0
4255,3340,323,1224.4832060044955,0.30445460036900224,0.3203125,0.19346722884719436,22.0,0.013878745347407554,0.76812744140625,0.05571620303555491,54.0,0.142420954676611,0.6335590544622391,0.19580089962281955,246.0,0.20671249593408644,0.4786665120430768,0.49643147531939036,1048.0,0.21977077015969707,0.43389323637644556,0.7962464563881246,4198.0,0.24474459815186192,0.23030256433196283,0.9881092790300366,17323.0
4251,1121,550,2293.227185641655,-0.06314367978078797,0.62890625,0.03536490264950354,16.0,-0.34678965142749035,0.92047119140625,0.001477333491906263,41.0,-0.15824541887861554,0.9049527810420841,0.005853561003037799,194.0,0.00864409149767141,0.6632366563037325,0.05746224236040798,977.0,0.06030161384447699,0.4413902587421139,0.16695992113205338,4190.0,0.1630162025169763,0.029509300303789517,0.8305841967241036,18687.0
4256,36362,714,1547.8737221658744,-11.86427696956526,1.0,0.0,0.0,-8.290169802261271,1.0,0.0,0.0,-5.649409326531766,1.0,0.0,0.0,-4.730333830832019,0.9999999999982385,0.0,0.0,-2.87767339918814,1.0,0.0,0.0,-1.502474773275492,1.0,0.0,1155.0
4432,3335,465,1124.910489566599,-1.1031777143761488,0.9921875,3.202492312892602e-06,2.0,-1.6967560093483003,0.999969482421875,5.7235327588500695e-12,2.0,-0.589108857905583,0.9995814077556133,4.608206202183496e-07,93.0,-0.7429401633196075,0.9999998439097606,1.3948173727129642e-09,275.0,-0.9216124924381573,0.9999999999999971,0.0,846.0,-0.8926930073521471,1.0,0.0,3365.0
4741,2556,270,1511.56597341089,0.13304033148035846,0.37109375,0.0961996072152369,21.0,0.12763978392332223,0.3342742919921875,0.12363528786466194,77.0,0.1289564097252556,0.25595607375726104,0.17587081391012083,300.0,0.04486810603049115,0.39197019278539447,0.09856892402346218,1081.0,0.016430949647806056,0.5132800168329742,0.07215237095324833,4114.0,-0.00890141926065284,0.7411125732496809,0.03697690025295752,15681.0
4254,3335,744,2190.009879734439,-0.8429705562772999,0.9453125,6.398228200044098e-05,7.0,-1.2577789382253766,0.9994964599609375,0.0,10.0,-0.6367538560632309,0.9996970777865499,1.1566493840486913e-07,89.0,-0.49775204932164474,0.9999503155499386,1.1254952192452095e-08,458.0,-0.3834561539943816,0.999998725111646,8.436410459111698e-10,2150.0,-0.5320980373113401,0.9999999999999999,0.0,6683.0
4738,2538,735,3513.1484062393333,-0.4123592150359165,0.80859375,0.0033731388030424636,12.0,0.2197463894643388,0.3160858154296875,0.210344868508344,78.0,0.09712274770233388,0.5036778950598091,0.1340684686039164,264.0,0.07657862364992703,0.505335697667065,0.1494521328802234,1038.0,0.08054313416821146,0.4254877753784726,0.2301166762147383,4207.0,0.02154460799929371,0.7457381338119399,0.09662007857288457,15664.0
4255,1800,380,831.4030057440364,-1.559597759929569,0.9921875,4.520995577905751e-09,2.0,-2.403064458794364,0.999969482421875,0.0,2.0,-0.9770522598796364,0.9999841235112399,0.0,58.0,-1.1289963472485902,0.9999999974668108,0.0,166.0,-1.2478970389976285,1.0,0.0,548.0,-1.1302149412148899,1.0,0.0,2430.0
4738,4855,420,1241.7808853030133,-3.599751176629211,1.0,0.0,0.0,-3.275292378487526,1.0,0.0,0.0,-1.3428095307622774,0.9999984693713486,1.5210055437364645e-14,39.0,-1.4412031629234923,0.9999999990455739,0.0,142.0,-1.343986565159363,1.0,0.0,582.0,-1.2671380826836092,1.0,0.0,2520.0
4720,2539,286,1625.9780958974898,0.2780643204642926,0.37109375,0.1755223278785052,21.0,0.037493045377645945,0.4499664306640625,0.06661198713318872,71.0,-0.08524473478770851,0.6473728844430298,0.017142474438398336,244.0,-0.0761504931975104,0.6334718247057887,0.012301892676136128,989.0,-0.08667778450670154,0.7326008246628557,0.004392595581761971,3867.0,-0.06363813310508044,0.656554336132492,0.0039027512126896813,15970.0
4740,2555,306,2341.196985205572,-1.1649307511002953,0.9921875,1.469425881861497e-06,2.0,-0.44245357451363204,0.953277587890625,0.0004201462917496901,36.0,-0.5818684779162447,0.9985262954141945,5.643939905430884e-07,110.0,-0.40421553237362257,0.9984410933921909,6.340707477958674e-07,598.0,-0.30651314104160476,0.9994666851458295,1.745817475029554e-07,2752.0,-0.36612982965303004,0.9999999724405777,2.3412838334735397e-09,10004.0
4258,3338,903,2059.5245709577284,-6.842088748152361,1.0,0.0,0.0,-1.9588921906204673,1.0,2.3314683517128287e-15,0.0,-0.8257893163081773,0.999990988522768,0.0,53.0,-1.3823878077177625,0.9999999998798462,0.0,93.0,-1.3845156530658234,1.0,0.0,469.0,-1.1338434936952473,1.0,0.0,2516.0
4256,3335,651,1755.1620009098096,-1.3502481690004502,0.9921875,1.2023329021282336e-07,2.0,-1.4799326862952138,0.9999237060546875,0.0,4.0,-0.6968558865407132,0.9995099573861808,1.7440843991245458e-08,95.0,-0.7290097801670921,0.9999979002905323,2.7370619104516436e-09,352.0,-0.539221758872895,0.9999999954248882,5.283624648910745e-10,1712.0,-0.673908178210657,1.0,0.0,5542.0
4255,1009608,304,878.4237633932514,-0.6420423523919684,0.92578125,0.0004732870624777341,8.0,-0.47194761394253726,0.963043212890625,0.00027792489225231254,34.0,-0.40800338171267503,0.9930010347161442,4.729693575422633e-05,135.0,-0.30352237887912625,0.9983006018583769,2.589812295017424e-05,602.0,-0.1173193047447476,0.9959666199150502,0.0015127321132000215,3014.0,-0.10657309735718405,0.999116401511186,0.00041065071773549455,12740.0
4738,1121,330,693.8600227888821,-4.651486279482967,1.0,0.0,0.0,-2.4121145935353665,0.9999847412109375,0.0,1.0,-1.2499245592688482,0.9999979892745614,7.710498906021712e-13,41.0,-1.0334498007690143,0.999999957620116,1.1102230246251565e-16,239.0,-1.1355901529835626,0.9999999999999918,0.0,902.0,-1.2104813538353993,1.0,0.0,3082.0
4251,4891,400,2938.800682532559,8.083604288215328,0.00390625,1.0,36.0,3.6623695146326853,1.52587890625e-05,1.0,136.0,3.497613975133468,2.3283064365386963e-10,1.0,528.0,3.2679010797117054,1.7627490366353699e-12,1.0,2080.0,2.5771831902119664,6.459992259328586e-23,1.0,8243.0,1.8397352118992039,2.6990695477827857e-42,1.0,32550.0
4741,1121,330,689.0614667319207,-2.0870405269369225,1.0,0.0,0.0,-2.3032661513886765,1.0,0.0,0.0,-1.1124691165152412,0.9999970125500113,1.5561829602717125e-10,44.0,-1.012782567901997,0.9999999409843165,2.220446049250313e-16,248.0,-1.076493786440105,0.999999999999962,0.0,985.0,-1.1616650247108895,1.0,0.0,3440.0
4282,2540,275,1227.5906603201718,-0.7683299734960958,0.97265625,0.00013883214639343056,5.0,-0.543271377997192,0.971160888671875,9.729687365578332e-05,32.0,-0.7700852249402417,0.9998010497074574,1.200248234134449e-09,84.0,-0.7273725522198609,0.999998478369548,2.9603834938995988e-09,342.0,-0.7253267034541212,0.9999999999769039,1.1102230246251565e-16,1360.0,-0.6483626473956231,1.0,0.0,6167.0
4258,1121,462,1088.581082581029,-2.5954720810924163,1.0,0.0,0.0,-0.5544870130321761,0.996185302734375,8.195932667187655e-05,19.0,-0.5931716199136249,0.9994278349913657,4.106125789382631e-07,97.0,-0.722162317467967,0.9999953765608566,3.795476377632667e-09,378.0,-0.7080609058350169,0.9999999997836848,5.551115123125783e-16,1510.0,-0.7048754231168556,1.0,0.0,6271.0
4258,5141,294,2503.548612194959,1.8889893804562574,0.00390625,0.9990685811624297,36.0,1.7062049534679335,4.57763671875e-05,0.9999999999955982,134.0,1.6817250231587304,1.0011717677116394e-08,1.0,518.0,1.6640968156635967,1.1348946760822588e-11,1.0,2040.0,1.584687133574866,4.248681201761638e-21,1.0,8061.0,1.7406186408588349,3.4156685521346116e-41,1.0,32328.0
4251,4103,775,4394.745854277828,0.6214011128250717,0.07421875,0.47644499037164845,29.0,-0.14798054681148556,0.6839141845703125,0.01351898287502018,59.0,0.08070037923544092,0.3457891314756125,0.11541204887794176,286.0,0.22594517468782502,0.04928627142819588,0.5569528796856429,1287.0,0.22703417739543963,0.005658910994578683,0.8185948887820206,5193.0,0.19526320445123763,0.0011248399389075547,0.9293616185935243,20071.0
4256,3338,903,5998.271759872141,0.16774125436312334,0.37109375,0.11225043135367119,21.0,0.9360176753533022,0.0020904541015625,0.9727606716910896,121.0,1.4712780230140237,5.8906152844429016e-08,1.0,510.0,1.3399725644325662,1.0099714595001014e-10,1.0,1991.0,0.9212211353092906,6.531502675285376e-15,1.0,7368.0,1.007384331941821,1.4320662000699644e-30,1.0,30006.0
4254,2540,264,1867.211783841311,0.4746407189725506,0.19140625,0.3330001490321577,25.0,0.773018669665826,0.0045928955078125,0.9037639638029743,117.0,0.5370037199261665,0.0036666702944785357,0.9075068991685015,405.0,0.4934176802418567,0.0002594407331707913,0.9880769358848784,1559.0,0.3770628946342406,3.296214393137564e-05,0.9953150351222362,5806.0,0.4326774164672136,1.0265137761225447e-10,0.9999999999977865,23987.0
9520,2880,324,2403.72555638064,0.7201225706009068,0.09765625,0.575683235294723,28.0,1.1282850913022966,0.0005035400390625,0.9960127103815533,127.0,0.846032533827195,5.515199154615402e-05,0.9987907011761186,459.0,0.6370483835607021,8.03666941327044e-06,0.9996579383901987,1685.0,0.6157875411235058,1.763810178207089e-09,0.9999999999983793,6611.0,0.6310520518062886,6.730152452833918e-18,1.0,26575.0
4739,4855,532,1484.9050693498468,-5.60603922115585,1.0,0.0,0.0,-6.503032557423577,1.0,0.0,0.0,-1.3001043198303126,0.9999956260435283,9.581224702515101e-14,47.0,-1.415157214475288,0.9999999984739957,0.0,154.0,-1.537046570520957,1.0,0.0,561.0,-1.2885774506568808,1.0,0.0,2704.0
4254,7127,264,2204.001178473415,0.5783683386266822,0.09765625,0.43321437604904167,28.0,0.13306218348647525,0.3160858154296875,0.12791786218077372,78.0,0.101697661109624,0.27417157404124737,0.13961563794076604,297.0,0.0993524078818192,0.16114731826160383,0.19529337817086034,1188.0,0.04539708673429126,0.32141723706199854,0.12840234127091277,4323.0,0.0038337983795257626,0.45802633718865915,0.05663380643496052,16573.0
4254,6823,312,2689.201885069546,-0.879071613555934,0.98828125,4.340381371792379e-05,3.0,-0.0887733258478411,0.6090240478515625,0.02360572388531479,63.0,0.4024305085228462,0.012635206570848823,0.7195489944206637,383.0,0.7047251536490782,7.610356221505608e-07,0.9999577156398952,1759.0,0.8430980246818508,1.940854420189929e-14,1.0,7309.0,0.7127722118194869,6.62873873817276e-23,1.0,28050.0
4251,1010947,275,927.2501317104916,-0.591470274642692,0.90234375,0.0007510186411646691,9.0,-0.49287931196238527,0.9583740234375,0.0002057598133619054,35.0,-0.35118592328045795,0.971516092075035,0.00016576854155203602,163.0,-0.2622565834686538,0.9737791623999262,9.933515111026914e-05,750.0,-0.1934584302051731,0.9876917505457622,6.618309247397036e-05,3183.0,-0.21362138996149363,0.9997502015497476,2.1566042107679095e-07,12320.0
4720,2541,1232,3777.5062076385616,-0.915654876796661,0.98046875,2.9030744146951726e-05,4.0,-1.2231867415707915,0.9996185302734375,0.0,9.0,-1.3412088636038937,0.9999997895210981,1.63202784619898e-14,26.0,-1.6056654553078955,0.9999999999857467,0.0,45.0,-1.2881259328880932,1.0,0.0,278.0,-1.3441616709910942,1.0,0.0,1201.0
